,Artist,YearRange
,,
1,a-ha,1985
2,Alec?Benjamin,2018
3,"Billie?Eilish,?Khalid",2018
4,Bon?Jovi,1986
5,Bruno?Mars,2012
6,"Calvin?Harris,?Dua?Lipa",2018
7,"Calvin?Harris,?Ellie?Goulding",2023
8,Coldplay,2000?-?2014
9,Conan?Gray,2020
10,"David?Guetta,?Anne-Marie,?Coi?Leray",2023
11,"David?Guetta,?Bebe?Rexha",2022
12,Dua?Lipa,2023
13,Ed?Sheeran,2017
14,Eminem,2002
15,FIFTY?FIFTY,2023
16,Harry?Styles,2019?-?2022
17,Imagine?Dragons,2017
18,James?Arthur,2016
19,Justin?Bieber,2021
20,Keane,2004
21,Linkin?Park,2000
22,Luke?Combs,2023
23,"Metro?Boomin,?The?Weeknd,?21?Savage",2022
24,Miley?Cyrus,2023
25,Morgan?Wallen,2023
26,Olivia?Rodrigo,2023
27,One?Direction,2014
28,OneRepublic,2022
29,Post?Malone,2019
30,"Post?Malone,?Swae?Lee",2018
31,"Rema,?Selena?Gomez",2022
32,Rosa?Linn,2022
33,"Sam?Smith,?Kim?Petras",2022
34,"Stephen?Sanchez,?Em?Beihold",2022
35,Taylor?Swift,2014?-?2022
36,Tears?For?Fears,1985
37,The?Weeknd,2020
38,"The?Weeknd,?Daft?Punk",2016
"Showing 1 to 38 of 38 entries, 2 total columns",,
