"Artist","YearRange"
"Alec Benjamin","2018"
"Billie Eilish, Khalid","2018"
"Bon Jovi","1986"
"Bruno Mars","2012"
"Calvin Harris, Dua Lipa","2018"
"Calvin Harris, Ellie Goulding","2023"
"Coldplay","2000 - 2014"
"Conan Gray","2020"
"David Guetta, Anne-Marie, Coi Leray","2023"
"David Guetta, Bebe Rexha","2022"
"Dua Lipa","2023"
"Ed Sheeran","2017"
"Eminem","2002"
"FIFTY FIFTY","2023"
"Harry Styles","2019 - 2022"
"Imagine Dragons","2017"
"James Arthur","2016"
"Justin Bieber","2021"
"Keane","2004"
"Linkin Park","2000"
"Luke Combs","2023"
"Metro Boomin, The Weeknd, 21 Savage","2022"
"Miley Cyrus","2023"
"Morgan Wallen","2023"
"Olivia Rodrigo","2023"
"One Direction","2014"
"OneRepublic","2022"
"Post Malone","2019"
"Post Malone, Swae Lee","2018"
"Rema, Selena Gomez","2022"
"Rosa Linn","2022"
"Sam Smith, Kim Petras","2022"
"Stephen Sanchez, Em Beihold","2022"
"Taylor Swift","2014 - 2022"
"Tears For Fears","1985"
"The Weeknd","2020"
"The Weeknd, Daft Punk","2016"
"a-ha","1985"
